Gender,CGPA,Internships,Projects,Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,PlacementStatus
Female,7.1,0,3,0,61.9,6.7,No,Yes,74.1,63.6,No
Female,7.59,2,1,1,81.4,6.1,Yes,No,68.5,64.6,Yes
Female,6.46,2,2,1,56.5,5.9,No,No,74.3,78.3,Yes
Male,7.38,0,2,5,53.6,6.0,Yes,Yes,88.6,66.5,Yes
Female,7.66,1,3,1,95.2,6.5,No,Yes,81.7,81.1,Yes
Male,7.39,0,3,0,54.0,5.9,Yes,No,79.3,83.3,No
Female,6.18,2,2,2,83.3,7.3,No,Yes,68.9,77.4,Yes
Female,7.41,0,0,3,67.3,8.7,No,Yes,68.8,57.7,No
Male,8.66,1,3,1,67.0,6.7,Yes,Yes,67.5,64.1,Yes
Female,7.65,3,2,0,57.4,8.2,Yes,Yes,88.0,78.8,Yes
Male,8.16,3,1,0,62.0,4.5,Yes,No,83.6,88.3,Yes
Female,6.96,1,3,0,91.8,7.0,Yes,Yes,59.7,53.5,No
Female,7.95,2,1,1,77.8,6.6,No,Yes,84.6,80.5,Yes
Male,7.48,0,2,2,44.6,4.4,Yes,Yes,87.1,62.8,Yes
Female,6.25,2,4,0,50.1,6.1,Yes,Yes,77.3,54.8,Yes
Male,7.52,2,5,1,70.7,7.8,No,No,91.0,79.1,Yes
Female,6.21,1,4,3,74.6,2.5,No,No,64.5,58.3,No
Male,6.57,1,3,3,76.5,6.2,Yes,Yes,77.2,58.0,Yes
Male,7.39,0,3,0,63.8,5.8,No,Yes,88.9,96.7,Yes
Female,7.5,2,0,1,52.3,6.9,Yes,Yes,81.6,55.1,Yes
Female,6.01,0,2,1,52.9,7.9,Yes,No,93.9,60.0,No
Male,8.25,1,1,2,30.5,7.5,No,No,68.6,71.3,No
Female,7.77,0,1,1,89.5,8.0,Yes,Yes,65.5,64.8,Yes
Female,6.5,1,2,0,25.6,8.3,No,No,68.5,75.0,No
Female,5.66,3,4,1,61.4,6.0,Yes,Yes,72.3,76.7,Yes
Male,7.06,1,3,1,38.4,2.9,No,Yes,97.0,61.9,No
Male,6.75,0,3,3,56.2,7.5,Yes,Yes,68.6,93.3,Yes
Male,7.31,2,0,1,73.6,5.0,Yes,No,72.5,56.3,No
Male,6.84,1,2,2,30.7,6.9,No,Yes,63.2,69.0,No
Male,5.19,0,3,2,70.3,4.4,Yes,No,68.8,70.4,No
Male,6.81,3,2,1,78.1,5.4,No,Yes,76.5,72.3,Yes
Male,6.89,3,3,4,58.7,7.4,Yes,No,52.8,79.1,Yes
Male,7.83,2,0,1,100.0,5.8,Yes,Yes,73.0,79.4,Yes
Male,6.5,1,3,3,31.3,4.0,Yes,No,66.0,71.3,No
Female,8.88,1,5,1,39.3,4.5,No,No,77.2,82.8,Yes
Male,5.29,0,1,2,60.5,8.2,No,No,86.4,57.9,No
Female,8.51,2,4,2,60.8,6.0,Yes,Yes,70.6,74.0,Yes
Female,6.98,2,1,0,66.7,6.0,No,No,76.4,81.1,No
Female,8.06,2,4,3,78.9,5.6,No,Yes,70.1,71.9,Yes
Male,7.28,1,0,0,46.2,4.2,No,Yes,84.6,69.1,Yes
Male,8.34,0,3,2,44.6,6.1,Yes,Yes,72.5,70.9,Yes
Male,6.81,1,2,1,54.6,8.4,Yes,No,85.4,74.0,Yes
Male,6.1,3,3,3,80.5,5.3,Yes,Yes,77.2,74.0,Yes
Female,8.62,1,4,1,77.1,3.7,No,Yes,90.8,79.7,Yes
Male,7.09,0,1,0,64.0,7.7,Yes,Yes,80.1,79.3,Yes
Male,7.42,1,0,1,,6.6,Yes,Yes,75.8,69.6,Yes
Male,8.43,2,1,0,62.7,6.8,Yes,No,84.5,74.2,No
Male,6.17,1,3,0,70.4,7.1,Yes,Yes,92.2,68.2,Yes
Male,7.8,2,1,0,66.5,3.9,No,Yes,90.8,54.8,No
Female,6.61,0,1,0,43.9,6.3,Yes,Yes,98.5,85.3,Yes
Male,7.07,1,1,2,42.8,6.9,Yes,Yes,74.1,87.8,Yes
Female,7.27,2,1,2,61.1,6.4,Yes,Yes,77.8,74.2,Yes
Male,5.7,2,3,0,75.9,6.4,No,Yes,72.0,68.6,Yes
Female,6.42,0,2,1,49.1,,No,Yes,66.0,66.4,No
Male,8.55,1,4,0,71.1,7.2,No,Yes,80.9,86.3,Yes
Male,8.09,2,2,2,38.2,7.4,Yes,No,50.3,64.7,No
Female,7.14,4,4,1,66.1,6.3,Yes,No,79.0,64.2,Yes
Female,7.44,1,0,0,53.3,2.7,Yes,No,88.8,49.9,No
Female,6.91,2,1,1,33.7,6.0,No,No,83.3,78.3,Yes
Male,8.56,2,5,2,56.8,6.5,No,Yes,82.7,87.3,Yes
Female,7.0,0,2,0,46.1,6.2,No,Yes,56.7,77.0,No
Male,7.43,4,1,1,60.9,6.4,Yes,Yes,91.6,66.7,Yes
Male,8.35,3,1,4,71.2,6.8,No,Yes,71.2,53.4,Yes
Female,6.42,0,4,1,71.9,7.9,Yes,No,80.6,76.7,Yes
Female,8.76,1,1,3,35.3,5.2,No,No,70.6,75.2,No
Male,5.67,4,1,0,73.6,6.2,Yes,No,73.2,65.6,Yes
Male,8.83,3,1,4,71.2,8.8,Yes,Yes,83.0,70.6,Yes
Female,6.83,2,0,0,58.6,4.1,Yes,No,87.3,78.5,No
Female,6.96,3,3,2,46.0,6.1,Yes,No,72.7,79.6,No
Female,5.31,2,4,0,58.9,3.2,No,Yes,76.7,78.1,Yes
Male,6.75,2,0,1,89.2,6.1,No,Yes,63.7,85.3,Yes
Male,6.16,3,3,0,73.9,6.7,Yes,No,85.6,74.5,Yes
Male,6.59,0,4,3,79.6,3.8,No,No,53.7,78.7,No
Male,7.06,1,3,0,50.2,6.8,No,No,60.8,68.3,No
Male,8.16,3,1,5,57.0,5.5,Yes,Yes,51.6,62.2,Yes
Male,7.41,2,2,0,45.5,8.1,Yes,No,71.9,77.1,Yes
Female,7.51,1,3,1,55.0,7.2,No,Yes,73.8,76.4,No
Male,6.1,0,0,2,85.4,5.7,No,Yes,78.8,66.8,No
Male,6.32,5,3,1,58.3,6.2,Yes,Yes,85.7,81.8,Yes
Male,9.0,5,0,2,54.7,8.8,No,No,71.6,69.6,No
Female,6.46,1,1,1,68.6,6.3,Yes,Yes,79.7,52.5,Yes
Male,8.86,2,4,2,56.4,4.5,No,Yes,60.5,73.4,Yes
Male,6.96,0,1,2,66.4,4.8,Yes,Yes,80.9,58.4,Yes
Female,7.2,1,0,1,56.5,6.2,No,No,71.2,40.5,No
Male,8.27,2,2,1,67.9,8.2,Yes,Yes,71.6,69.6,Yes
Male,8.47,2,3,0,,5.8,No,No,74.6,78.4,No
Male,7.09,0,4,2,48.2,4.9,No,Yes,67.6,67.8,Yes
Male,6.81,1,1,4,80.8,6.5,Yes,No,73.1,73.2,Yes
Male,7.14,2,0,3,92.3,7.0,Yes,Yes,87.9,68.6,Yes
Female,7.54,1,2,0,72.5,7.3,No,No,86.7,68.8,No
Female,8.09,1,0,2,42.5,3.9,Yes,Yes,77.0,55.3,Yes
Female,7.2,1,2,2,61.6,7.0,No,Yes,72.4,48.2,Yes
Male,7.82,0,3,2,68.7,6.9,No,Yes,67.9,73.4,Yes
Male,8.84,0,6,1,39.7,5.8,Yes,No,65.1,66.1,No
Male,7.58,1,2,0,57.0,8.2,No,Yes,86.7,58.2,Yes
Female,7.51,0,3,2,43.9,7.2,No,Yes,74.9,69.2,Yes
Male,5.68,1,0,1,49.6,5.2,Yes,Yes,56.0,58.4,No
Male,4.57,0,6,2,70.1,7.2,No,Yes,61.9,70.9,No
Female,7.59,1,1,3,64.3,,Yes,No,64.8,45.0,No
Male,7.11,0,5,2,48.6,5.8,Yes,Yes,45.4,84.1,Yes
Female,6.69,1,2,0,64.0,5.9,No,No,67.6,81.8,No
Female,7.44,0,4,3,59.6,7.5,No,Yes,52.4,62.4,Yes
Female,7.14,1,3,0,78.2,10.0,No,Yes,77.7,76.2,Yes
Male,8.33,0,0,1,33.9,6.1,Yes,Yes,74.9,65.7,No
Male,7.29,2,2,0,53.9,8.7,No,Yes,84.9,94.6,No
Male,6.45,5,6,1,87.8,8.5,No,Yes,78.6,56.8,Yes
Male,8.19,0,1,0,47.5,4.5,Yes,No,100.0,83.2,No
Male,6.98,3,4,4,48.8,8.5,No,No,71.5,81.1,Yes
Male,7.73,1,2,1,57.2,5.4,Yes,No,69.2,60.3,Yes
Male,6.72,1,2,0,84.0,6.5,No,No,85.8,83.0,No
Female,6.55,1,1,2,71.0,9.9,No,Yes,77.5,67.4,Yes
Male,7.28,2,1,1,49.1,7.3,No,Yes,75.3,64.0,Yes
Female,7.21,2,2,1,63.7,5.5,Yes,No,85.0,74.6,No
Male,7.68,1,4,1,59.7,7.2,No,Yes,85.7,69.6,Yes
Male,6.93,0,2,2,71.7,4.2,Yes,No,56.8,73.2,No
Male,5.36,1,2,1,64.4,8.1,Yes,No,73.5,65.0,No
Female,6.77,1,0,1,67.9,5.5,Yes,Yes,79.5,72.0,Yes
Female,7.99,3,3,1,60.2,2.8,No,Yes,49.0,82.2,No
Female,6.9,0,2,3,84.8,6.0,No,No,67.0,61.6,No
Female,6.95,1,2,1,64.4,5.7,Yes,Yes,80.1,75.4,Yes
Male,8.19,1,7,0,55.6,7.2,Yes,Yes,84.8,65.5,Yes
Female,6.49,1,4,3,80.9,4.8,No,Yes,71.4,65.2,No
Male,5.66,4,3,1,73.9,7.0,No,No,64.1,96.2,Yes
Male,7.04,2,3,1,51.4,5.5,Yes,Yes,76.0,87.4,Yes
Female,6.72,0,1,1,5.9,6.4,No,Yes,73.7,65.8,Yes
Female,6.23,0,0,2,73.1,8.1,No,Yes,68.9,66.4,No
Female,7.02,2,0,1,58.5,8.1,Yes,No,60.5,63.9,No
Female,7.69,0,0,1,65.6,8.4,No,Yes,70.2,80.2,No
Female,7.19,2,2,2,82.7,5.4,No,No,59.2,58.5,No
Female,7.51,1,2,4,50.7,6.9,No,No,67.5,75.9,No
Female,9.01,1,2,2,48.1,7.0,Yes,No,74.2,95.8,No
Female,6.86,0,2,2,44.1,8.4,Yes,No,68.3,73.8,No
Male,7.48,0,4,1,98.1,6.0,No,Yes,94.0,82.3,Yes
Female,6.69,0,2,3,82.9,4.3,No,No,73.5,81.1,No
Female,6.35,0,4,3,75.1,7.8,Yes,Yes,84.0,67.3,No
Male,6.62,0,0,1,36.1,8.5,Yes,Yes,76.1,58.2,Yes
Female,6.72,0,3,1,43.6,7.0,No,No,63.0,82.2,No
Male,7.56,1,1,0,75.5,4.9,No,Yes,68.6,82.1,Yes
Male,9.55,2,2,1,71.0,9.7,No,Yes,73.3,91.3,Yes
Female,6.48,0,4,1,60.9,6.7,Yes,No,68.5,72.1,No
Male,6.78,0,5,1,44.7,,Yes,Yes,74.7,61.9,Yes
Male,7.14,2,6,3,80.8,8.1,No,No,68.4,73.1,Yes
Male,7.6,2,5,0,91.9,9.0,Yes,No,75.9,64.7,Yes
Male,7.46,4,2,0,71.6,4.1,No,No,84.6,80.5,No
Female,8.48,1,2,4,53.7,7.3,No,Yes,83.2,79.5,Yes
Male,4.77,3,0,1,87.9,8.4,Yes,No,78.4,78.6,No
Female,4.81,0,7,2,67.5,6.3,Yes,Yes,76.5,65.4,No
Male,6.7,0,2,0,89.4,6.7,No,No,64.1,70.3,No
Male,8.3,2,4,2,59.6,6.3,No,No,86.1,55.6,No
Male,5.63,1,2,1,95.9,8.8,No,Yes,57.0,62.4,Yes
Male,4.19,0,3,4,58.3,4.8,No,Yes,71.6,65.5,No
Female,7.77,1,3,0,55.1,6.1,No,No,66.0,60.6,No
Female,7.44,3,2,1,77.4,9.7,Yes,Yes,81.0,67.0,Yes
Male,6.11,2,3,2,63.9,5.6,No,No,92.2,73.9,Yes
Male,6.21,1,1,1,70.8,4.2,Yes,No,71.5,60.7,Yes
Female,6.23,0,1,1,49.7,6.5,Yes,No,91.3,61.7,No
Male,7.31,2,0,0,50.0,8.1,Yes,Yes,70.0,74.0,Yes
Male,6.57,0,2,1,59.3,6.4,No,Yes,68.8,70.5,No
Male,7.69,1,0,0,70.4,5.8,Yes,Yes,68.2,76.0,Yes
Female,4.35,0,0,3,53.3,7.3,No,Yes,87.2,81.3,No
Female,6.34,0,1,1,81.0,10.0,Yes,Yes,86.7,78.1,Yes
Female,6.07,1,2,1,63.4,6.1,Yes,Yes,71.7,81.0,Yes
Male,6.94,1,2,2,90.6,9.6,Yes,Yes,81.2,77.3,Yes
Male,6.66,0,3,2,49.2,7.1,Yes,Yes,69.5,41.0,Yes
Female,8.0,0,1,1,70.1,5.2,No,Yes,85.8,63.3,No
Female,5.34,1,2,3,71.9,9.0,Yes,Yes,70.1,57.6,Yes
Female,7.25,1,1,4,69.1,6.0,No,Yes,84.2,71.4,No
Female,7.76,0,2,1,64.3,4.2,Yes,Yes,82.8,68.1,No
Male,9.06,0,2,1,77.7,6.9,No,Yes,79.6,80.7,Yes
Female,6.72,0,3,2,46.5,5.8,No,Yes,53.1,54.9,Yes
Male,7.52,2,0,1,69.2,9.2,No,No,82.7,58.2,Yes
Female,5.4,0,2,2,50.2,7.1,Yes,No,87.1,66.5,No
Male,4.81,0,1,1,56.3,5.7,Yes,Yes,77.3,77.0,No
Female,8.04,1,2,4,69.0,7.8,Yes,No,84.2,68.1,No
Female,7.19,1,2,4,79.2,6.5,No,No,74.4,78.3,No
Female,8.38,1,2,1,44.4,7.0,No,No,67.2,70.1,No
Female,5.83,3,2,0,89.8,2.9,No,No,74.0,72.2,No
Male,7.72,1,0,1,80.0,4.8,No,Yes,90.6,73.9,Yes
Female,9.07,1,3,0,65.7,6.8,No,Yes,78.9,50.2,No
Male,7.62,1,0,2,49.0,4.6,No,Yes,67.8,77.0,No
Male,7.48,3,1,2,87.9,5.6,Yes,No,84.1,69.0,Yes
Male,7.21,1,2,0,71.9,7.9,No,Yes,82.9,77.8,Yes
Male,5.63,2,1,2,71.9,7.3,No,Yes,88.1,89.5,Yes
Female,8.56,0,1,2,,8.3,No,Yes,64.0,84.9,Yes
Male,6.59,2,2,1,67.9,6.5,No,Yes,68.1,70.9,No
Male,7.7,0,1,1,55.6,5.5,Yes,No,89.5,78.3,No
Male,5.64,2,2,0,83.2,8.6,Yes,Yes,72.6,64.3,Yes
Female,6.02,2,1,1,83.6,6.6,No,No,48.4,58.4,No
Female,8.64,2,1,2,62.7,4.9,No,No,59.5,61.9,No
Female,6.85,0,1,1,56.2,9.0,No,No,83.7,79.6,No
Female,8.65,1,2,2,76.9,6.6,Yes,No,70.0,65.8,Yes
Male,7.12,2,2,1,74.8,8.0,No,No,68.4,71.9,Yes
Male,5.36,0,0,0,47.5,6.9,No,Yes,91.5,71.3,No
Female,8.09,2,1,2,60.6,8.0,No,Yes,77.3,96.6,Yes
Male,6.61,2,0,2,97.9,7.5,No,No,85.7,56.8,No
Male,7.9,0,2,0,64.9,6.0,No,Yes,77.2,70.1,Yes
Male,7.23,2,4,1,68.5,6.0,No,Yes,71.0,77.5,Yes
Female,5.66,0,1,2,73.2,7.6,Yes,Yes,58.6,74.8,Yes
Female,7.36,2,0,3,56.6,6.7,No,Yes,70.3,68.8,Yes
Male,9.4,2,2,0,76.5,6.5,No,Yes,71.4,66.3,No
Female,7.69,0,2,1,70.7,5.8,No,No,63.5,81.8,No
Female,7.14,2,1,1,81.9,6.1,Yes,No,82.3,60.4,No
Female,8.28,0,3,0,39.7,4.2,Yes,No,67.5,73.8,No
Female,7.41,1,4,1,70.3,7.3,No,No,76.1,63.8,No
Female,7.41,0,1,3,68.1,5.5,No,No,69.9,64.7,No
Male,6.11,0,2,2,43.7,6.7,Yes,No,66.2,66.9,No
Female,7.43,2,4,1,61.0,6.4,No,Yes,60.4,70.3,No
Male,8.24,1,1,0,70.9,6.8,Yes,No,68.8,67.5,Yes
Male,6.36,2,2,2,65.8,6.5,Yes,Yes,72.7,72.9,Yes
Female,8.62,0,1,5,64.6,7.2,No,No,76.2,78.5,No
Male,7.11,1,5,1,64.8,,No,Yes,70.6,76.8,Yes
Male,6.31,1,4,0,58.0,6.4,Yes,No,75.5,72.8,No
Male,8.2,3,2,0,95.1,6.5,Yes,No,77.5,72.1,Yes
Female,6.91,3,1,2,69.9,5.2,No,Yes,82.7,73.4,Yes
Female,7.96,0,3,0,69.6,5.0,No,Yes,86.5,72.2,Yes
Male,6.91,3,1,1,45.1,5.6,No,No,85.5,74.4,No
Female,7.14,1,0,2,60.3,6.8,No,No,65.1,56.5,No
Female,7.69,1,2,1,57.1,4.9,No,Yes,75.9,58.3,No
Female,7.49,0,1,1,64.5,7.9,Yes,Yes,90.3,72.8,Yes
Female,5.2,0,2,0,60.2,5.6,Yes,Yes,70.1,75.7,No
Male,6.08,1,5,1,55.7,6.5,Yes,No,88.3,53.4,Yes
Male,8.13,0,2,1,61.6,7.5,No,Yes,78.2,75.6,No
Female,7.07,1,2,2,48.8,4.3,No,Yes,60.6,63.8,No
Female,6.68,2,0,2,73.9,8.5,No,No,94.7,76.5,No
Male,5.84,3,2,0,77.1,5.2,No,Yes,83.3,60.4,No
Male,6.12,1,1,2,72.5,8.5,Yes,No,79.0,91.6,Yes
Female,5.18,4,2,2,77.8,7.3,Yes,Yes,78.9,75.3,No
Male,7.1,0,4,4,76.8,3.8,No,No,77.9,82.5,No
Female,6.6,0,3,0,45.7,6.3,Yes,No,70.0,69.4,No
Female,6.23,2,1,0,87.4,5.3,Yes,No,82.2,79.7,No
Male,7.13,2,1,2,78.0,9.0,No,Yes,71.4,77.4,No
Male,7.56,2,3,1,36.4,6.8,No,No,64.2,66.1,No
Female,9.29,1,1,1,53.6,3.6,No,No,67.3,69.2,No
Female,5.69,1,0,0,46.5,8.4,No,No,57.9,86.9,No
Male,8.36,1,1,1,71.5,7.3,No,No,72.6,83.4,Yes
Female,8.17,1,1,3,57.0,7.1,No,No,64.2,57.9,No
Male,6.42,0,3,0,65.4,6.5,Yes,Yes,68.8,82.2,Yes
Female,7.4,3,1,1,91.0,4.4,Yes,No,60.4,69.0,No
Male,6.74,0,2,0,86.7,8.9,Yes,No,59.3,69.5,No
Male,7.39,0,4,1,50.6,6.1,Yes,Yes,94.6,68.6,Yes
Male,8.71,2,5,2,71.9,8.7,No,No,75.9,80.6,Yes
Female,7.81,2,4,1,92.4,6.5,No,No,71.8,84.1,Yes
Female,7.71,4,1,2,51.3,6.2,Yes,No,68.7,79.6,Yes
Male,6.77,4,1,2,79.5,3.9,Yes,No,78.5,71.1,Yes
Female,5.72,2,5,1,62.5,5.4,No,No,75.3,72.8,No
Male,6.99,1,2,1,50.9,8.5,No,No,72.0,68.8,No
Male,8.41,1,2,1,87.7,7.6,Yes,Yes,78.9,59.4,Yes
Female,5.67,0,1,1,58.6,7.3,No,No,80.8,74.2,No
Female,6.14,2,1,1,62.8,7.4,Yes,No,53.0,84.5,Yes
Male,7.33,2,1,3,59.7,6.5,No,Yes,75.3,81.9,Yes
Female,6.22,1,3,2,80.8,5.8,No,Yes,78.9,68.4,Yes
Female,6.41,2,1,2,79.8,5.3,No,No,72.6,70.0,No
Male,6.78,0,2,4,53.9,5.8,Yes,No,60.0,72.7,No
Male,5.83,1,1,2,66.7,6.7,Yes,No,71.4,71.5,No
Female,6.23,1,0,5,70.5,5.3,No,Yes,73.9,66.9,Yes
Male,7.9,1,3,3,79.6,6.5,Yes,No,77.3,76.2,Yes
Male,5.89,0,2,1,55.9,6.6,No,No,83.9,64.0,No
Female,5.6,1,2,0,85.7,6.2,No,No,84.7,75.5,No
